"key","collection","code","number","totalRows","variantCount","titleVariantCount","lyricsVariantCount","rowIds","titles","lyricsHashes"
"CAN|CAN1|1","CAN","CAN1","1","3","3","2","3","985|3786|6001","Meenya Ngyirama Apem Matow Ndwom || Meenya Ngyirama Apem Matow Ndwom || Dɛn na memfa nyi me Nyame ayɛ","234fbbe12d79|c9d10bf68b78|9b9dca8ea772"
"CAN|CAN195|195","CAN","CAN195","195","2","2","2","2","1179|3980","Ao, Mo Wura, Ma Menye W' nnantsew || MHB600 Ao, Mo Wura, Ma Menye W' nnantsew","0a9214feb63f|b8696dae22d2"
"MHB|MHB632|632","MHB","MHB632","632","2","2","2","2","632|4761","Be Thou My Vision, Or Lord Of My Heart || Be Thou  My Vision, Or Lord Of My Heart","61c61e907c5c|88f11c5c3a7e"
